name,lat,lon
Ankara,39.93333333333333,32.866667
Ashgabat,37.95,58.383333
Grand Turk,21.466666666666665,-71.133333
Funafuti,-8.516666666666667,179.216667
Kampala,0.31666666666666665,32.550000
Kyiv,50.43333333333333,30.516667
Abu Dhabi,24.466666666666665,54.366667
London,51.5,-0.083333
Brest,52.1,23.69
Vitebsk,55.19,30.2
Gomel,52.43,30.98
Grodno,53.69,23.83
Mogilev,53.92,30.34
